Validity,Heuristics,Loop depth,If depth,N,Total number of inspected paths,Number of unfeasible paths,Time spent on verification,Time spent on finding unfeasible paths,Total time,Atoms
False,True,10,15,2,8,11,9.1773667e-2,0.26908335,0.364433188,293
False,True,10,15,3,10,11,0.115534998,0.263040546,0.381673934,293
False,True,10,15,4,6,13,6.6620107e-2,0.281529426,0.351229174,171
False,True,10,15,5,10,13,0.25474263,0.280090886,0.537954122,323
False,True,10,15,6,8,13,8.7411788e-2,0.280904632,0.37152019,324
False,True,10,15,7,6,13,6.649308e-2,0.27708282,0.346711937,325
False,True,10,15,8,12,13,0.236271623,0.278739862,0.518158283,326
False,True,10,15,9,9,13,0.10140017,0.293038691,0.398723309,236
True,True,10,15,10,0,12,3.63e-6,0.220737774,0.223672232,0
False,False,10,15,2,13,0,0.228056072,1.44068e-4,0.249148136,66633
False,False,10,15,3,12,0,0.131295775,1.39392e-4,0.152620829,66633
False,False,10,15,4,149,0,1.768674155,1.3833e-4,1.789267003,66633
False,False,10,15,5,148,0,1.794498009,1.37537e-4,1.817385891,66633
False,False,10,15,6,147,0,1.750255041,1.31821e-4,1.769960397,66633
False,False,10,15,7,671,0,7.962183048,1.44255e-4,7.986547371,66633
False,False,10,15,8,670,0,7.933993458,1.47191e-4,7.955945064,66633
False,False,10,15,9,669,0,7.940587942,1.32259e-4,7.961132626,66633
False,False,10,15,10,1444,0,16.974727178,1.42677e-4,16.994790109,66633
