Validity,Heuristics,Loop depth,If depth,N,Total number of inspected paths,Number of unfeasible paths,Time spent on verification,Time spent on finding unfeasible paths,Total time,Atoms
True,True,20,5,2,4092,3,68.013584543,0.112853052,68.272657155,114656
True,True,20,5,3,4092,3,65.401062617,8.7670205e-2,65.576450859,114656
True,True,20,5,4,4092,3,69.081351259,8.7451914e-2,69.279059796,114656
True,True,20,5,5,4092,3,61.368446895,8.3120096e-2,61.539991842,114656
True,True,20,5,6,4092,3,61.22963308,9.5868505e-2,61.410152971,114656
True,True,20,5,7,4092,3,61.242089483,8.1095273e-2,61.408814628,114656
True,True,20,5,8,4092,3,61.171708973,8.349595e-2,61.358417953,114656
True,True,20,5,9,4092,3,63.012474234,8.6638415e-2,63.188331782,114656
True,True,20,5,10,4092,3,61.389804844,9.3238662e-2,61.56998536,114656
True,False,20,5,2,4095,0,60.71950189,1.48825e-4,60.722637338,114683
True,False,20,5,3,4095,0,60.616882488,1.49467e-4,60.620078041,114683
True,False,20,5,4,4095,0,61.326807042,1.51808e-4,61.329423471,114683
True,False,20,5,5,4095,0,86.119477081,1.51659e-4,86.122741899,114683
True,False,20,5,6,4095,0,97.343796367,1.68799e-4,97.354957846,114683
True,False,20,5,7,4095,0,90.258956022,2.21004e-4,90.264311734,114683
True,False,20,5,8,4095,0,78.89635788,1.51986e-4,78.901653013,114683
True,False,20,5,9,4095,0,84.182287097,2.31267e-4,84.186705267,114683
True,False,20,5,10,4095,0,63.727705103,1.84345e-4,63.730778543,114683
