Validity,Heuristics,Loop depth,If depth,N,Total number of inspected paths,Number of unfeasible paths,Time spent on verification,Time spent on finding unfeasible paths,Total time,Atoms
False,True,20,10,2,2,2,0.265747832,0.562348219,1.4359027979999999,221164
False,True,20,10,3,2,6,0.265309241,0.48958338,1.352547111,221128
False,True,20,10,4,2,14,0.248866227,0.513070937,1.3233268599999999,221040
False,True,20,10,5,2,14,0.240103185,0.549023511,1.408988983,221040
False,True,20,10,6,2,14,0.282868703,0.495021545,1.374541466,221040
False,True,20,10,7,2,14,0.387001417,0.705835148,1.891499671,221040
False,True,20,10,8,2,14,0.476791996,0.666846986,1.89821845,221040
False,True,20,10,9,2,14,0.291840677,0.676853496,1.755597686,221040
False,True,20,10,10,2,14,0.34612096,0.889651261,2.054631292,221040
False,False,20,10,2,4,0,0.26315354,1.62213e-4,0.27478979,221176
False,False,20,10,3,4,0,0.270093122,1.4227e-4,0.278350901,221176
False,False,20,10,4,4,0,0.277657993,1.56062e-4,0.288409917,221176
False,False,20,10,5,4,0,0.26874632,1.40086e-4,0.275560504,221176
False,False,20,10,6,4,0,0.281825267,1.35518e-4,0.29251585,221176
False,False,20,10,7,4,0,0.249778649,1.49851e-4,0.258049837,221176
False,False,20,10,8,4,0,0.247325487,3.01662e-4,0.25994591,221176
False,False,20,10,9,4,0,0.343300203,1.68203e-4,0.355792305,221176
False,False,20,10,10,4,0,0.250303256,1.41701e-4,0.256272745,221176
